file,deleted
ACAKEU_extracted.pdb,Y
ACAKIY_extracted.pdb,Y
ACAKOE_extracted.pdb,Y
ACAKUK_extracted.pdb,Y
ACALAR_extracted.pdb,Y
ACALDA_extracted.pdb,Y
ACALEV_extracted.pdb,Y
ACALIZ_extracted.pdb,Y
ACALOF_extracted.pdb,Y
ACALUL_extracted.pdb,Y
ACAMAS_extracted.pdb,Y
ACAMBR01_extracted.pdb,Y
ACAMEW_extracted.pdb,Y
ACAMIA_extracted.pdb,Y
ACAMOG_extracted.pdb,Y
ACAMOJ_extracted.pdb,Y
ACAMUM_extracted.pdb,Y
ACAMUP_extracted.pdb,Y
ACANAT_extracted.pdb,Y
ACANEX_extracted.pdb,Y
ACANIB_extracted.pdb,Y
ACANIL06_extracted.pdb,Y
ACAREB_extracted.pdb,Y
ACARIF_extracted.pdb,Y
ACAVAE_extracted.pdb,N
ACAWOT_extracted.pdb,Y
ACAWUZ_extracted.pdb,Y
ACAXAG_extracted.pdb,Y
ACDHAL01_extracted.pdb,Y
ACEBAN_extracted.pdb,Y
ACEGUM_extracted.pdb,Y
ACEHAT_extracted.pdb,Y
ACEHEX_extracted.pdb,Y
ACEHIB_extracted.pdb,Y
ACEHOH_extracted.pdb,Y
ACEHUN_extracted.pdb,Y
ACEJAV_extracted.pdb,Y
ACEJEX_extracted.pdb,Y
ACEJIB_extracted.pdb,Y
ACEKIC_extracted.pdb,Y
ACEKIC01_extracted.pdb,Y
ACELAV_extracted.pdb,Y
ACELOK_extracted.pdb,Y
ACELUQ_extracted.pdb,Y
ACEMAW_extracted.pdb,Y
ACEMUR_extracted.pdb,Y
ACENAZ_extracted.pdb,Y
ACENHT_extracted.pdb,Y
ACENON_extracted.pdb,Y
ACEPAB_extracted.pdb,N
ACEPEE_extracted.pdb,Y
ACEQAB_extracted.pdb,Y
ACERIK_extracted.pdb,Y
ACERIK01_extracted.pdb,Y
ACERUW_extracted.pdb,Y
ACETAE_extracted.pdb,Y
ACETAE01_extracted.pdb,Y
ACETIM_extracted.pdb,Y
ACEVIO_extracted.pdb,Y
ACEVOU_extracted.pdb,Y
ACEVUB_extracted.pdb,N
ACEWAH_extracted.pdb,Y
ACEWAI_extracted.pdb,Y
ACEWEM_extracted.pdb,Y
ACEWIQ_extracted.pdb,Y
ACEWOW_extracted.pdb,Y
ACEWUB_extracted.pdb,Y
ACEWUC_extracted.pdb,Y
ACEXAI_extracted.pdb,Y
ACEXAI01_extracted.pdb,Y
ACEXOX_extracted.pdb,Y
ACEXUC_extracted.pdb,Y
ACEXUD_extracted.pdb,Y
ACEYEN_extracted.pdb,Y
ACEYIR_extracted.pdb,Y
ACEYIR01_extracted.pdb,Y
ACEZAK_extracted.pdb,Y
ACEZOY_extracted.pdb,Y
ACEZUD_extracted.pdb,Y
ACIBOD_extracted.pdb,Y
ACICAR_extracted.pdb,Y
ACICAR01_extracted.pdb,Y
ACICEV_extracted.pdb,Y
ACICEV01_extracted.pdb,Y
ACICEV02_extracted.pdb,Y
ACICIA_extracted.pdb,Y
ACICOD_extracted.pdb,Y
ACICOG_extracted.pdb,Y
ACIDEV03_extracted.pdb,Y
ACIDEY_extracted.pdb,Y
ACIDIC_extracted.pdb,Y
ACIDIZ_extracted.pdb,Y
ACIDOI_extracted.pdb,Y
ACIDUO_extracted.pdb,Y
ACIFOH_extracted.pdb,Y
ACIFOH01_extracted.pdb,Y
ACIHOK_extracted.pdb,N
ACIJEC_extracted.pdb,Y
ACIJOM01_extracted.pdb,Y
ACILEG_extracted.pdb,Y
ACIQAE_extracted.pdb,Y
ACIREL_extracted.pdb,Y
ACIREL01_extracted.pdb,Y
ACIRUB_extracted.pdb,Y
ACIRUB01_extracted.pdb,Y
ACISAI_extracted.pdb,Y
ACISAI01_extracted.pdb,Y
ACITOX_extracted.pdb,Y
ACITUE_extracted.pdb,Y
ACIVAM_extracted.pdb,Y
ACIVIS_extracted.pdb,Y
ACIWEP_extracted.pdb,Y
ACIWIT_extracted.pdb,N
ACIWOZ_extracted.pdb,N
ACIWUG_extracted.pdb,Y
ACIYES_extracted.pdb,Y
ACIYIW_extracted.pdb,Y
ACIYOC_extracted.pdb,N
ACIZOD_extracted.pdb,Y
ACIZUJ_extracted.pdb,Y
ACLACT_extracted.pdb,Y
ACMEBZ_extracted.pdb,Y
ACMSEU_extracted.pdb,Y
ACMZSD_extracted.pdb,M
ACNDNB_extracted.pdb,Y
ACNPHA_extracted.pdb,Y
ACNPHB_extracted.pdb,Y
ACNPHC_extracted.pdb,Y
ACNPHD_extracted.pdb,Y
ACNPHE_extracted.pdb,Y
ACNPHY01_extracted.pdb,Y
ACNYLI_extracted.pdb,Y
ACOBAX_extracted.pdb,Y
ACOBUR_extracted.pdb,Y
ACOFUV_extracted.pdb,Y
ACOGAC_extracted.pdb,Y
ACOGEG_extracted.pdb,Y
ACOGIK_extracted.pdb,Y
ACOGOQ_extracted.pdb,Y
ACOGUW_extracted.pdb,Y
ACOHEH_extracted.pdb,Y
ACOJUZ_extracted.pdb,Y
ACOKAG_extracted.pdb,N
ACOKEK_extracted.pdb,Y
ACOLET10_extracted.pdb,Y
ACONUD_extracted.pdb,Y
ACOPAL_extracted.pdb,Y
ACOPIT_extracted.pdb,Y
ACOQIS_extracted.pdb,N
ACOREP_extracted.pdb,Y
ACOSER_extracted.pdb,Y
ACOTAP_extracted.pdb,Y
ACOTIX_extracted.pdb,Y
ACOTOB_extracted.pdb,Y
ACOTOD_extracted.pdb,Y
ACOVEW_extracted.pdb,Y
ACOZEX_extracted.pdb,Y
ACPENC10_extracted.pdb,Y
ACSALA01_extracted.pdb,Y
ACSARM_extracted.pdb,Y
ACTHYM_extracted.pdb,Y
ACUDEI02_extracted.pdb,Y
ACUFIP_extracted.pdb,Y
ACUHAK_extracted.pdb,Y
ACUHIS_extracted.pdb,Y
ACUHIS01_extracted.pdb,Y
ACUHOY_extracted.pdb,Y
ACUHOY01_extracted.pdb,Y
ACUKER_extracted.pdb,Y
ACUKIV_extracted.pdb,Y
ACUKOA_extracted.pdb,Y
ACUKUG_extracted.pdb,Y
ACULAN_extracted.pdb,Y
ACULEP_extracted.pdb,Y
ACULER_extracted.pdb,Y
ACULIT_extracted.pdb,Y
ACULIT01_extracted.pdb,Y
ACULIV_extracted.pdb,Y
ACULIV01_extracted.pdb,Y
ACULOZ_extracted.pdb,Y
ACUNUJ_extracted.pdb,Y
ACUPAR_extracted.pdb,Y
ACUPUL_extracted.pdb,Y
ACUQAQ_extracted.pdb,Y
ACUQAS_extracted.pdb,Y
ACUQEU_extracted.pdb,Y
ACUQEW_extracted.pdb,Y
ACUQIA_extracted.pdb,Y
ACUQIY_extracted.pdb,Y
ACURAT_extracted.pdb,Y
ACURUN_extracted.pdb,Y
ACUSAU_extracted.pdb,Y
ACUTAW_extracted.pdb,Y
ACUWAY_extracted.pdb,Y
ACUWOL_extracted.pdb,Y
ACUWOL01_extracted.pdb,Y
ACUWOM_extracted.pdb,Y
ACUWUS_extracted.pdb,Y
ACUXAZ_extracted.pdb,Y
ACUXED_extracted.pdb,Y
ACUXIH_extracted.pdb,Y
ACUXON_extracted.pdb,Y
ACUXOO_extracted.pdb,Y
ACUYAA_extracted.pdb,Y
ACUYEE_extracted.pdb,Y
ACUYII_extracted.pdb,Y
ACUYOO_extracted.pdb,Y
ACUZAB_extracted.pdb,N
ACUZEF_extracted.pdb,Y
ADABOX_extracted.pdb,N
ADAFES_extracted.pdb,N
ADAFIW_extracted.pdb,N
ADAGAQ_extracted.pdb,Y
ADAKAS_extracted.pdb,Y
ADAKEW_extracted.pdb,Y
ADALEX_extracted.pdb,Y
ADAMAW_extracted.pdb,Y
ADAMEY_extracted.pdb,Y
ADANEZ_extracted.pdb,Y
ADANIF_extracted.pdb,Y
ADANOL_extracted.pdb,Y
ADANUR_extracted.pdb,Y
ADAPAZ_extracted.pdb,Y
ADAPEB_extracted.pdb,Y
ADAPED_extracted.pdb,Y
ADAPIF_extracted.pdb,Y
ADAPUS_extracted.pdb,Y
ADAQAY_extracted.pdb,N
ADAQAZ_extracted.pdb,Y
ADAQEC_extracted.pdb,Y
ADAQED_extracted.pdb,Y
ADAQUS_extracted.pdb,Y
ADARIH_extracted.pdb,Y
ADARUU_extracted.pdb,N
ADASAA_extracted.pdb,Y
ADASEE_extracted.pdb,Y
ADATEF_extracted.pdb,Y
ADATIJ_extracted.pdb,Y
ADATUV_extracted.pdb,Y
ADAVIL_extracted.pdb,Y
ADAVUX_extracted.pdb,Y
ADAWEI_extracted.pdb,Y
ADAWIM_extracted.pdb,Y
ADAXIN_extracted.pdb,N
ADAYIO_extracted.pdb,Y
ADAZIR_extracted.pdb,M
ADAZOV_extracted.pdb,Y
ADECIW_extracted.pdb,Y
ADEDAP_extracted.pdb,Y
ADEFAR_extracted.pdb,Y
ADEJID_extracted.pdb,Y
ADEJUP_extracted.pdb,Y
ADEKAW01_extracted.pdb,Y
ADELAX_extracted.pdb,Y
ADELAX01_extracted.pdb,Y
ADELIG_extracted.pdb,Y
ADELIH_extracted.pdb,Y
ADELOL_extracted.pdb,Y
ADELON_extracted.pdb,Y
ADELUT_extracted.pdb,N
ADEMIG_extracted.pdb,Y
ADENIJ_extracted.pdb,Y
ADENIJ01_extracted.pdb,Y
ADENOP_extracted.pdb,Y
ADEQUW_extracted.pdb,Y
ADERIL_extracted.pdb,Y
ADEVUB_extracted.pdb,Y
ADEWIQ_extracted.pdb,Y
ADEXAJ_extracted.pdb,Y
ADEXUF_extracted.pdb,Y
ADEYUE_extracted.pdb,Y
ADEZAL01_extracted.pdb,Y
ADEZEP_extracted.pdb,Y
ADEZOA_extracted.pdb,Y
ADGALA01_extracted.pdb,Y
ADIBAR_extracted.pdb,Y
ADIBEV_extracted.pdb,Y
ADIBOF_extracted.pdb,Y
ADICAS_extracted.pdb,Y
ADICUO_extracted.pdb,Y
ADIDAT_extracted.pdb,Y
ADIDAT01_extracted.pdb,Y
ADIDUN_extracted.pdb,Y
ADIDUP_extracted.pdb,Y
ADIFAX_extracted.pdb,Y
ADIFOK_extracted.pdb,Y
ADIFUQ_extracted.pdb,Y
ADIGAX_extracted.pdb,Y
ADIGIE_extracted.pdb,Y
ADIGOK_extracted.pdb,Y
ADIHIG_extracted.pdb,Y
ADIHOK_extracted.pdb,Y
ADIHUQ_extracted.pdb,Y
ADIHUT_extracted.pdb,Y
ADIJAB_extracted.pdb,Y
ADIJAY_extracted.pdb,N
ADIJEC_extracted.pdb,Y
ADIJEF_extracted.pdb,Y
ADIJIG_extracted.pdb,Y
ADIJOM_extracted.pdb,Y
ADIJON_extracted.pdb,Y
ADIJUS_extracted.pdb,Y
ADIKAA_extracted.pdb,Y
ADIKAZ_extracted.pdb,Y
ADIKED_extracted.pdb,Y
ADIKII_extracted.pdb,Y
ADIKOQ_extracted.pdb,Y
ADIKUW_extracted.pdb,Y
ADILAB_extracted.pdb,Y
ADILUV_extracted.pdb,Y
ADIMAC_extracted.pdb,Y
ADINAF_extracted.pdb,Y
ADINEJ_extracted.pdb,Y
ADIPAC19_extracted.pdb,Y
ADIPOU_extracted.pdb,N
ADIRAH_extracted.pdb,Y
ADIREL_extracted.pdb,Y
ADISAI_extracted.pdb,Y
ADISEM_extracted.pdb,Y
ADISIQ_extracted.pdb,Y
ADISOW_extracted.pdb,Y
ADISUC_extracted.pdb,Y
ADITAJ_extracted.pdb,Y
ADITEN_extracted.pdb,Y
ADITIR_extracted.pdb,Y
ADITOX_extracted.pdb,Y
ADITUD_extracted.pdb,Y
ADLFUC_extracted.pdb,Y
ADOFAB_extracted.pdb,N
ADOFEF_extracted.pdb,Y
ADOFOP_extracted.pdb,Y
ADOFUV_extracted.pdb,Y
ADOJOS_extracted.pdb,Y
ADOKIP_extracted.pdb,Y
ADOMAJ_extracted.pdb,Y
ADONUE_extracted.pdb,Y
ADOPAM_extracted.pdb,Y
ADOPOA_extracted.pdb,Y
ADOPUG_extracted.pdb,Y
ADOPUH_extracted.pdb,Y
ADOQAL_extracted.pdb,Y
ADOQAO_extracted.pdb,N
ADOQUI_extracted.pdb,Y
ADOSEU_extracted.pdb,N
ADOSIY_extracted.pdb,N
ADOSOE_extracted.pdb,N
ADPROP_extracted.pdb,Y
ADPTHZ_extracted.pdb,Y
ADUBAF_extracted.pdb,Y
ADUBEJ_extracted.pdb,Y
ADUBIN_extracted.pdb,Y
ADUBOT_extracted.pdb,Y
ADUBUZ_extracted.pdb,Y
ADUCEK_extracted.pdb,Y
ADUCUA_extracted.pdb,N
ADULET_extracted.pdb,Y
ADULOA_extracted.pdb,Y
ADUNIZ_extracted.pdb,Y
ADUQUN_extracted.pdb,Y
ADURAT_extracted.pdb,Y
ADUSAW_extracted.pdb,Y
ADUTEA_extracted.pdb,Y
ADUTEZ_extracted.pdb,Y
ADUTIE_extracted.pdb,Y
ADUVEC_extracted.pdb,N
ADUVIF_extracted.pdb,Y
ADUWAA_extracted.pdb,Y
ADUWAZ_extracted.pdb,N
ADUWED_extracted.pdb,Y
ADUXEE_extracted.pdb,Y
ADYPNL_extracted.pdb,Y
ADYPUR10_extracted.pdb,N
AFACUF_extracted.pdb,Y
AFADAP_extracted.pdb,Y
AFAGAS_extracted.pdb,Y
AFAJEZ_extracted.pdb,Y
AFAJID_extracted.pdb,Y
AFAKOK_extracted.pdb,Y
AFAKUQ_extracted.pdb,Y
AFALAX_extracted.pdb,Y
AFALEB_extracted.pdb,Y
AFAPIH_extracted.pdb,Y
AFAPON_extracted.pdb,Y
AFAPUT_extracted.pdb,Y
AFASOQ_extracted.pdb,Y
AFATEJ_extracted.pdb,Y
AFAWIO_extracted.pdb,Y
AFAWIQ_extracted.pdb,Y
AFAWOU_extracted.pdb,Y
AFAWOW_extracted.pdb,Y
AFAXOV_extracted.pdb,Y
AFAYAK_extracted.pdb,Y
AFAYOV_extracted.pdb,Y
AFAYUD_extracted.pdb,Y
AFAZEP_extracted.pdb,Y
AFAZIT_extracted.pdb,Y
AFEBUI02_extracted.pdb,Y
AFEDEU_extracted.pdb,Y
AFEDEU01_extracted.pdb,Y
AFEFID_extracted.pdb,Y
AFEFUM_extracted.pdb,N
AFEGAT_extracted.pdb,N
AFEGAW_extracted.pdb,Y
AFEJIH_extracted.pdb,Y
AFELUT_extracted.pdb,N
AFENIK_extracted.pdb,Y
AFEPOR_extracted.pdb,Y
AFEQIM_extracted.pdb,Y
AFEQOS_extracted.pdb,Y
AFERUZ_extracted.pdb,Y
AFETIP_extracted.pdb,Y
AFETOV_extracted.pdb,Y
AFEVAJ_extracted.pdb,Y
AFEVOZ_extracted.pdb,Y
AFEVUF_extracted.pdb,Y
AFEWAM_extracted.pdb,Y
AFEWUE_extracted.pdb,Y
AFEWUG_extracted.pdb,Y
AFEXAN_extracted.pdb,Y
AFEXEP_extracted.pdb,Y
AFEXER_extracted.pdb,Y
AFEXIV_extracted.pdb,Y
AFEXOZ_extracted.pdb,Y
AFEYEQ_extracted.pdb,Y
AFICAT_extracted.pdb,M
AFIFAX_extracted.pdb,Y
AFIFEB_extracted.pdb,Y
AFIFIF_extracted.pdb,Y
AFIFOL_extracted.pdb,Y
AFIFOL01_extracted.pdb,Y
AFIFUT_extracted.pdb,Y
AFIGAY_extracted.pdb,Y
AFIGED_extracted.pdb,Y
AFIGON_extracted.pdb,Y
AFIHIH_extracted.pdb,Y
AFIHON_extracted.pdb,Y
AFIHUT_extracted.pdb,Y
AFIHUU_extracted.pdb,Y
AFIJEF_extracted.pdb,Y
AFIJEG_extracted.pdb,Y
AFIJOQ_extracted.pdb,Y
AFIJOQ01_extracted.pdb,Y
AFIJUV_extracted.pdb,N
AFIKEG_extracted.pdb,Y
AFIKEH01_extracted.pdb,Y
AFIKIK_extracted.pdb,Y
AFILAF_extracted.pdb,Y
AFILEJ_extracted.pdb,Y
AFILIN_extracted.pdb,Y
AFILOT_extracted.pdb,Y
AFILUZ_extracted.pdb,Y
AFIMAG_extracted.pdb,Y
AFIMOR_extracted.pdb,Y
AFINAG01_extracted.pdb,Y
AFINEK_extracted.pdb,Y
AFIPIQ01_extracted.pdb,Y
AFIREP_extracted.pdb,Y
AFIRUF01_extracted.pdb,Y
AFISOY_extracted.pdb,N
AFISUE_extracted.pdb,N
AFITAL_extracted.pdb,N
AFITUH_extracted.pdb,N
AFIWIX_extracted.pdb,Y
AFIYAR_extracted.pdb,Y
AFIYIZ_extracted.pdb,Y
AFIYOG_extracted.pdb,Y
AFIYUM_extracted.pdb,Y
AFIZAS_extracted.pdb,Y
AFIZAT_extracted.pdb,Y
AFIZIB_extracted.pdb,Y
AFIZOH_extracted.pdb,Y
AFIZUN_extracted.pdb,Y
AFOBEF_extracted.pdb,Y
AFOBUU_extracted.pdb,Y
AFOCIK_extracted.pdb,Y
AFOCOP_extracted.pdb,Y
AFOCOQ_extracted.pdb,Y
AFOFAF_extracted.pdb,Y
AFOFEJ_extracted.pdb,Y
AFOFIN_extracted.pdb,Y
AFOFOT_extracted.pdb,Y
AFOFUZ_extracted.pdb,Y
AFOGAG_extracted.pdb,Y
AFOGOU_extracted.pdb,Y
AFOGOU01_extracted.pdb,Y
AFOGOU02_extracted.pdb,Y
AFOGOU03_extracted.pdb,Y
AFOGOU04_extracted.pdb,Y
AFOGOU05_extracted.pdb,Y
AFOGOU06_extracted.pdb,Y
AFOGUA_extracted.pdb,Y
AFOHAG_extracted.pdb,Y
AFOHAH_extracted.pdb,Y
AFOHEJ_extracted.pdb,Y
AFOHOV_extracted.pdb,Y
AFOHUB_extracted.pdb,Y
AFOJAJ_extracted.pdb,Y
AFOLIS_extracted.pdb,Y
AFOLOX_extracted.pdb,Y
AFOLUD_extracted.pdb,Y
AFOLUD01_extracted.pdb,Y
AFOMEP_extracted.pdb,Y
AFONOA_extracted.pdb,Y
AFOQIX_extracted.pdb,Y
AFOQUK_extracted.pdb,Y
AFUCAF_extracted.pdb,Y
AFUCEJ_extracted.pdb,Y
AFUCEM_extracted.pdb,Y
AFUCIN_extracted.pdb,Y
AFUCUC_extracted.pdb,Y
AFUDAJ_extracted.pdb,Y
AFUDEN_extracted.pdb,Y
AFUGEP_extracted.pdb,Y
AFUGEP01_extracted.pdb,Y
AFUGOA_extracted.pdb,Y
AFUGUE_extracted.pdb,Y
AFUHAM_extracted.pdb,Y
AFUHAN_extracted.pdb,Y
AFUHEQ_extracted.pdb,Y
AFUHER_extracted.pdb,Y
AFUHIT_extracted.pdb,Y
AFUHIU_extracted.pdb,Y
AFUHIV_extracted.pdb,Y
AFUHOA_extracted.pdb,Y
AFUHOZ_extracted.pdb,Y
AFUHUF_extracted.pdb,Y
AFUJAO_extracted.pdb,Y
AFUJES_extracted.pdb,Y
AFUJIW_extracted.pdb,Y
AFUJOC_extracted.pdb,Y
AFUJUH_extracted.pdb,Y
AFUJUJ_extracted.pdb,Y
AFUKAO_extracted.pdb,Y
AFUKAQ01_extracted.pdb,Y
AFUKES_extracted.pdb,Y
AFUPIC_extracted.pdb,Y
AFUREZ_extracted.pdb,Y
AFUROJ_extracted.pdb,Y
AFUROK_extracted.pdb,Y
AFUSUR_extracted.pdb,Y
AFUTAY_extracted.pdb,Y
AFUTUR_extracted.pdb,Y
AFUVAB_extracted.pdb,Y
AFUVOP_extracted.pdb,Y
AFUWUV_extracted.pdb,Y
AFUYEF_extracted.pdb,Y
AFUYEI_extracted.pdb,Y
AFUZEJ_extracted.pdb,Y
AFUZOT_extracted.pdb,Y
AGADIX_extracted.pdb,Y
AGADOE_extracted.pdb,Y
AGAFUM_extracted.pdb,Y
AGAGEW_extracted.pdb,Y
AGAGIA_extracted.pdb,Y
AGAGUK_extracted.pdb,Y
AGAHAR_extracted.pdb,Y
AGAHOI_extracted.pdb,N
AGAHUO_extracted.pdb,N
AGAJAT_extracted.pdb,N
AGAJAW_extracted.pdb,N
AGAJEA_extracted.pdb,N
AGAJIE_extracted.pdb,N
AGAJOK_extracted.pdb,N
AGAJUQ_extracted.pdb,N
AGAKAX_extracted.pdb,N
AGAKEB_extracted.pdb,Y
